"X","Y"
"924","-0.15"
"929","0.31"
"934","0"
"939","-0.026"
"944","0.095"
"949","0.068"
"954","0"
"959","0"
"964","0"
"969","0"
"974","0"
"979","0"
"984","0"
"989","0"
"994","0"
"999","0"
"1004","0"
"1009","0"
"1014","0.289"
"1019","0"
"1024","-0.123"
"1029","-0.167"
"1034","0.03"
"1039","-0.098"
"1044","0.071"
"1049","-0.102"
"1054","0.161"
"1059","-0.019"
"1064","-0.13"
"1069","0.088"
"1074","-0.123"
"1079","-0.278"
"1084","-0.095"
"1089","0.289"
"1094","-0.219"
"1099","0.095"
"1104","-0.06"
"1109","0.189"
"1114","-0.27"
"1119","-0.109"
"1124","-0.222"
"1129","0.193"
"1134","-0.078"
"1139","0.036"
"1144","0.144"
"1149","-0.098"
"1154","-0.202"
"1159","-0.03"
"1164","-0.191"
"1169","0.006"
"1174","-0.147"
"1179","0.071"
"1184","0.095"
"1189","0.047"
"1194","-0.04"
"1199","-0.06"
"1204","-0.174"
"1209","0.151"
"1214","0.019"
"1219","0.03"
"1224","0.119"
"1229","0.116"
"1234","-0.106"
"1239","0.054"
"1244","-0.212"
"1249","-0.088"
"1254","-0.095"
"1259","-0.05"
"1264","-0.002"
"1269","-0.15"
"1274","0.068"
"1279","-0.095"
"1284","0.424"
"1289","0.165"
"1294","-0.433"
"1299","-0.232"
"1304","0.168"
"1309","0.057"
"1314","0.199"
"1319","-0.316"
"1324","0.002"
"1329","0.064"
"1334","0.095"
"1339","0.102"
"1344","0.133"
"1349","-0.15"
"1354","-0.019"
"1359","-0.05"
"1364","0.068"
"1369","0.116"
"1374","0.047"
"1379","0.175"
"1384","0.127"
"1389","0.144"
"1394","0.012"
"1399","0.199"
"1404","0.033"
"1409","0.327"
"1414","-0.354"
"1420","0.13"
"1424","-0.156"
"1429","-0.14"
"1434","-0.357"
"1439","0.241"
"1443","-0.153"
"1449","0.203"
"1454","-0.205"
"1458","-0.198"
"1463","0.185"
"1468","-0.084"
"1474","-0.153"
"1478","0"
"1484","-0.284"
"1489","-0.319"
"1494","0.081"
"1499","0.185"
"1504","0.203"
"1509","-0.243"
"1514","-0.03"
"1519","0.113"
"1524","-0.264"
"1529","0.472"
"1534","-0.119"
"1539","-0.078"
"1544","-0.106"
"1549","-0.274"
"1554","0.141"
"1559","-0.163"
"1564","0.057"
"1569","-0.222"
"1574","-0.057"
"1579","0.113"
"1584","-0.34"
"1589","0.227"
"1594","-0.243"
"1599","0.147"
"1604","-0.202"
"1609","0.237"
"1614","-0.133"
"1619","0.04"
"1624","0.255"
"1629","0.147"
"1634","-0.137"
"1639","-0.012"
"1644","0.241"
"1649","-0.116"
"1654","-0.288"
"1659","-0.078"
"1664","0.106"
"1669","-0.188"
"1674","0.054"
"1679","0.13"
"1684","0.047"
"1689","-0.333"
"1694","0.269"
"1699","0.074"
"1704","0"
"1709","0.127"
"1714","0"
"1719","-0.316"
"1724","0"
"1729","0"
"1734","0"
"1739","0.019"
"1744","0"
"1749","0"
"1754","-0.008"
"1759","0"
"1764","0"
"1770","0"
"1774","-0.109"
"1779","0.116"
"1784","0.095"
"1789","0.071"
"1794","0"
"1799","0"
"1805","0"
"1809","0"
"1815","0"
"1818","0"
"1823","0"
"1828","0"
"1833","0"
"1838","0"
"1843","0"
"1849","0"
"1854","0"
"1858","-0.25"
"1864","0"
"1869","0.123"
"1874","0"
"1879","-0.547"
"1884","-0.174"
"1889","-0.163"
"1894","0.217"
"1899","-0.219"
"1904","-0.102"
"1909","-0.254"
"1914","0.255"
"1919","-0.078"
"1924","-0.254"
"1929","0"
"1934","-0.095"
"1939","-0.112"
"1944","0.355"
"1949","-0.423"
"1954","0.106"
"1959","0.008"
"1964","-0.264"
"1969","0.275"
"1974","0.064"
"1980","0.095"
"1984","-0.092"
"1989","-0.03"
"1994","0.033"
"1999","-0.002"
"2005","0.04"
"2010","-0.071"
"2015","-0.16"
"2018","-0.26"
"2024","0.057"
"2028","-0.081"
"2033","0.217"
"2038","-0.112"
"2044","-0.17"
"2048","0.03"
"2054","0.099"
"2058","-0.181"
"2064","-0.046"
"2068","0.165"
"2074","-0.222"
"2079","-0.026"
"2084","-0.071"
"2089","-0.208"
"2094","0.022"
"2099","-0.098"
"2104","0.006"
"2109","-0.078"
"2114","-0.191"
"2119","0.057"
"2124","-0.081"
"2129","0.13"
"2134","-0.191"
"2139","0.088"
"2144","-0.026"
"2149","0.102"
"2154","0.012"
"2159","0.165"
"2164","-0.222"
"2169","0.127"
"2174","-0.019"
"2179","0.002"
"2184","0.116"
"2189","0.133"
"2194","-0.194"
"2199","0.085"
"2204","0.099"
"2209","-0.095"
"2214","0.272"
"2219","-0.268"
"2224","0.03"
"2229","-0.078"
"2234","0.068"
"2239","-0.084"
"2244","0.016"
"2249","-0.119"
"2254","0.006"
"2259","-0.084"
"2264","0.036"
"2269","-0.126"
"2274","-0.078"
"2279","-0.205"
"2284","-0.06"
"2289","-0.137"
"2294","-0.34"
"2299","-0.078"
"2304","0.012"
"2309","0.092"
"2314","-0.35"
"2319","0.151"
"2324","-0.116"
"2329","-0.219"
"2334","-0.054"
"2339","0.123"
"2344","-0.229"
"2349","0.233"
"2354","-0.198"
"2359","-0.232"
"2364","0.376"
"2369","0.185"
"2374","-0.177"
"2379","0.521"
"2384","-0.454"
"2389","-0.194"
"2393","0.119"
"2398","-0.005"
"2403","0.008"
"2408","0.594"
"2414","-0.638"
"2418","-0.302"
"2423","0.466"
"2428","-0.281"
"2434","-0.382"
"2438","-0.05"
"2443","-0.167"
"2449","0.22"
"2453","-0.074"
"2458","-0.156"
"2464","0.151"
"2469","0.223"
"2474","-0.198"
"2479","-0.461"
"2484","0.352"
"2489","-0.479"
"2494","-0.163"
"2499","0.193"
"2504","-0.35"
"2509","0.444"
"2514","-0.068"
"2519","-0.191"
"2524","-0.312"
"2529","-0.216"
"2534","0.379"
"2539","-0.475"
"2544","0.594"
"2549","-0.194"
"2554","0.476"
"2559","-0.25"
"2564","0.019"
"2569","-0.326"
"2574","0.258"
"2579","-0.306"
"2584","0.113"
"2589","-0.06"
"2594","0.247"
"2599","0.137"
"2604","0.231"
"2609","-0.413"
"2614","0.362"
"2619","-0.088"
"2624","-0.222"
"2629","0.116"
"2634","-0.336"
"2639","0.279"
"2644","-0.219"
"2649","-0.005"
"2654","0.237"
"2659","-0.302"
"2664","0.275"
"2669","-0.292"
"2674","-0.074"
"2679","-0.399"
"2684","-0.208"
"2689","-0.084"
"2694","-0.402"
"2699","0.033"
"2704","-0.419"
"2709","0.006"
"2714","-0.074"
"2719","0.106"
"2724","0.04"
"2729","-0.198"
"2734","0.258"
"2739","-0.295"
"2744","0.044"
"2749","-0.137"
"2754","0.119"
"2759","-0.005"
"2764","-0.13"
"2769","-0.222"
"2774","0.085"
"2779","-0.081"
"2784","-0.205"
"2789","0.002"
"2794","0.033"
"2799","0.209"
"2804","-0.092"
"2809","0.044"
"2814","0"
"2819","0.05"
"2824","0"
"2829","0"
"2834","0"
"2839","0"
"2844","0"
"2849","-0.219"
"2854","0"
"2859","0.171"
"2864","0"
"2869","0"
"2874","-0.541"
"2879","0.033"
"2884","-0.14"
"2889","0"
"2894","0"
"2899","0"
"2904","0"
"2908","0.241"
"2913","0"
"2919","0"
"2923","0"
"2929","0"
"2933","0"
"2939","0"
"2943","0"
"2948","0"
"2953","0"
"2958","0"
"2963","0"
"2968","0"
"2974","0"
"2979","0"
"2984","0"
"2989","-0.081"
"2993","0.231"
"2998","-0.074"
"3003","0.31"
"3008","-0.437"
"3013","-0.184"
"3018","-0.04"
"3023","0.119"
"3028","-0.319"
"3033","0.22"
"3038","0.286"
"3043","0.31"
"3048","-0.133"
"3053","0.573"
"3058","-0.669"
"3063","0.355"
"3068","-0.468"
"3074","-0.019"
"3079","0.41"
"3083","-0.216"
"3088","0.736"
"3094","0.296"
"3099","-0.457"
"3104","-0.302"
"3109","-0.509"
"3114","-0.112"
"3119","0.604"
"3124","0.213"
"3129","0.022"
"3134","-0.256"
"3139","-0.098"
"3144","-0.163"
"3149","-0.34"
"3154","0.141"
"3159","-0.167"
"3164","0.518"
"3169","0.223"
"3174","-0.419"
"3179","-0.226"
"3184","-0.088"
"3189","-0.019"
"3194","-0.084"
"3199","0.054"
"3204","-0.371"
"3209","0.247"
"3214","0.199"
"3219","0.209"
"3224","0.144"
"3229","0.109"
"3234","-0.493"
"3239","0.113"
"3244","-0.385"
"3249","0.193"
"3254","0.13"
"3259","-0.181"
"3264","0.099"
"3269","0.081"
"3274","-0.137"
"3279","0.251"
"3284","-0.308"
"3289","-0.156"
"3294","0.064"
"3299","-0.163"
"3304","0.147"
"3309","-0.098"
"3314","-0.167"
"3319","-0.036"
"3324","0.047"
"3329","-0.15"
"3334","0.127"
"3339","-0.177"
"3344","0.151"
"3349","0.03"
"3354","0.106"
"3359","0.012"
"3364","-0.27"
"3368","-0.102"
"3373","0.313"
"3379","-0.044"
"3383","-0.046"
"3388","0.141"
"3393","-0.336"
"3398","0.182"
"3403","-0.084"
"3408","0.272"
"3413","-0.032"
"3418","-0.254"
"3423","-0.06"
"3428","-0.308"
"3433","-0.13"
"3439","-0.212"
"3443","0.324"
"3448","-0.246"
"3454","0.157"
"3458","-0.095"
"3463","-0.098"
"3469","-0.109"
"3474","0.404"
"3479","-0.212"
"3484","0.006"
"3489","-0.088"
"3494","-0.268"
"3499","0.116"
"3504","-0.123"
"3509","-0.14"
"3514","0.168"
"3519","0.081"
"3524","-0.156"
"3529","-0.288"
"3534","-0.17"
"3539","-0.123"
"3544","-0.012"
"3549","-0.119"
"3554","-0.088"
"3559","-0.084"
"3564","0.095"
"3569","-0.26"
"3574","0.157"
"3579","-0.153"
"3584","0.071"
"3589","-0.177"
"3594","-0.202"
"3599","-0.057"
"3604","-0.274"
"3609","0.144"
"3614","-0.13"
"3619","0.203"
"3624","-0.256"
"3629","0.141"
"3634","-0.416"
"3639","0.008"
"3644","-0.054"
"3649","0.012"
"3654","-0.071"
"3659","-0.016"
"3664","0.106"
"3669","0.279"
"3674","-0.371"
"3680","0.154"
"3684","-0.074"
"3689","-0.008"
"3693","-0.074"
"3698","-0.084"
"3703","-0.078"
"3708","0.113"
"3713","-0.054"
"3719","-0.106"
"3723","0.127"
"3728","-0.05"
"3733","0.012"
"3739","0.48"
"3743","-0.26"
"3748","0.123"
"3753","0.095"
"3758","-0.106"
"3763","0.379"
"3768","0.006"
"3773","-0.344"
"3779","0.04"
"3783","0.265"
"3788","-0.256"
"3793","0.119"
"3798","-0.03"
"3804","-0.102"
"3809","0.168"
"3814","-0.116"
"3819","0.081"
"3824","-0.016"
"3829","-0.109"
"3834","0.382"
"3839","0"
"3844","0"
"3849","0.195"
"3854","0"
"3859","0"
"3864","0"
"3869","0"
"3874","-0.054"
"3879","0"
"3884","0"
"3889","0"
"3894","0"
"3899","-0.212"
"3904","0"
"3909","0"
"3914","-0.281"
"3919","0.39"
"3924","0.334"
"3929","0"
"3934","0"
"3939","0"
"3944","0"
"3949","0"
"3954","0"
"3959","0"
"3964","0"
"3969","0"
"3974","0"
"3979","0"
"3984","0"
"3989","0"
"3994","0"
"3999","-0.198"
"4004","0.071"
"4009","-0.084"
"4014","0.494"
"4019","-0.25"
"4024","0.251"
"4029","-0.064"
"4034","0.355"
"4039","-0.312"
"4044","0.123"
"4049","-0.732"
"4054","0.22"
"4059","0.49"
"4064","-0.194"
"4068","0.227"
"4073","0.064"
"4078","0.247"
"4083","-0.302"
"4088","0.247"
"4093","-0.16"
"4098","-0.123"
"4103","-0.205"
"4108","-0.163"
"4113","0.58"
"4118","0.022"
"4123","0.095"
"4128","0.209"
"4133","-0.04"
"4139","-0.503"
"4144","0.012"
"4148","-0.378"
"4153","-0.071"
"4158","-0.174"
"4163","-0.123"
"4169","-0.057"
"4174","-0.068"
"4178","0.061"
"4184","0.296"
"4188","-0.181"
"4194","-0.116"
"4199","-0.326"
"4204","-0.016"
"4209","0.213"
"4214","0.088"
"4219","0.054"
"4224","-0.019"
"4229","-0.068"
"4234","-0.147"
"4239","0.255"
"4244","-0.302"
"4249","0.078"
"4254","-0.098"
"4259","0.147"
"4264","0.012"
"4269","0.279"
"4274","-0.088"
"4279","0.092"
"4284","0.175"
"4289","0.123"
"4294","-0.133"
"4299","0.03"
"4304","-0.046"
"4309","0.033"
"4314","-0.026"
"4319","-0.226"
"4324","-0.032"
"4329","-0.13"
"4334","0.341"
"4339","-0.229"
"4344","-0.198"
"4349","-0.05"
"4354","-0.095"
"4359","-0.03"
"4364","0.03"
"4369","-0.493"
"4374","0.22"
"4379","-0.184"
"4384","0.047"
"4389","-0.109"
"4394","0.102"
"4399","-0.232"
"4404","0.03"
"4409","-0.012"
"4414","-0.036"
"4419","0.102"
"4424","-0.205"
"4429","-0.06"
"4433","-0.347"
"4438","0.269"
"4443","0.165"
"4448","0.085"
"4453","-0.016"
"4458","0.237"
"4463","-0.074"
"4468","0.237"
"4473","-0.074"
"4478","0.237"
"4483","-0.333"
"4488","0.293"
"4493","-0.109"
"4498","-0.229"
"4503","0.081"
"4509","0"
"4513","-0.046"
"4518","-0.354"
"4523","0.313"
"4528","0.081"
"4533","-0.361"
"4538","-0.119"
"4544","-0.092"
"4548","0.026"
"4553","0.127"
"4558","0.116"
"4563","-0.194"
"4568","-0.144"
"4573","0.036"
"4579","-0.032"
"4584","-0.03"
"4589","-0.119"
"4594","0.168"
"4599","-0.395"
"4604","0.376"
"4609","0.006"
"4614","-0.012"
"4619","0.116"
"4624","-0.288"
"4629","0.209"
"4634","-0.068"
"4639","0.081"
"4644","-0.057"
"4649","-0.226"
"4654","0.137"
"4659","0.303"
"4664","0.307"
"4669","0.231"
"4674","-0.074"
"4679","0.019"
"4684","-0.205"
"4689","-0.05"
"4694","-0.032"
"4699","0.047"
"4704","0.074"
"4708","-0.216"
"4713","0.071"
"4718","-0.167"
"4723","-0.109"
"4728","0.144"
"4733","0.116"
"4738","-0.092"
"4743","-0.054"
"4748","-0.541"
"4753","0.199"
"4758","0.026"
"4763","0.022"
"4768","-0.119"
"4773","0.071"
"4778","0.012"
"4783","0.047"
"4788","-0.288"
"4793","-0.167"
"4798","-0.14"
"4803","-0.133"
"4808","-0.03"
"4814","-0.005"
"4818","-0.095"
"4823","0.012"
"4828","-0.461"
"4834","0.39"
"4838","-1.019"
"4843","0.407"
"4849","-0.002"
"4854","-0.064"
"4858","-0.084"
"4863","-0.758"
"4869","0.317"
"4874","-0.814"
"4879","0.5"
"4883","0.116"
"4889","-0.295"
"4894","0.32"
"4899","0.396"
"4904","-0.198"
"4909","0.078"
"4914","-0.074"
"4919","0.036"
"4924","0.618"
"4929","0.047"
"4934","0.802"
"4939","-0.243"
"4944","0.002"
"4949","0.016"
"4954","-0.308"
"4959","0.047"
"4964","0.012"
"4969","0.119"
"4974","-0.219"
"4979","-0.046"
"4984","-0.374"
"4989","0.078"
"4994","0.085"
"4999","-0.385"
"5004","0.456"
"5009","-0.451"
"5014","-0.205"
"5019","-0.032"
"5024","0"
"5029","-0.288"
"5034","0"
"5039","0.303"
"5044","-0.43"
"5049","0"
"5054","0"
"5059","0"
"5064","0"
"5069","0"
"5074","0"
"5079","0"
"5083","-0.232"
"5088","0"
"5093","0.4"
"5098","0"
"5103","0.5"
"5108","-0.092"
"5113","0.521"
"5118","0"
"5123","0"
"5128","0"
"5133","0"
"5138","0"
"5144","0"
"5149","0"
"5153","0"
"5158","0"
"5163","0"
"5168","0"
"5174","0"
"5179","0"
"5184","0"
"5189","0"
"5194","0"
"5199","0"
"5204","0"
"5209","0"
"5214","-0.368"
"5219","-0.109"
"5224","0.255"
"5229","0.064"
"5234","0.078"
"5239","0.213"
"5244","-0.25"
"5249","-0.662"
"5254","0.189"
"5259","0.393"
"5264","0.144"
"5269","-0.05"
"5274","0.518"
"5280","-0.744"
"5283","0.006"
"5288","-0.454"
"5293","0.396"
"5298","0.469"
"5303","-0.544"
"5308","0.677"
"5313","-0.03"
"5318","-0.03"
"5323","0.382"
"5328","0.071"
"5333","0.157"
"5338","0.133"
"5343","-0.336"
"5348","0.193"
"5353","0.012"
"5358","-0.281"
"5363","0.299"
"5368","-0.336"
"5373","0.601"
"5379","-0.607"
"5383","-0.163"
"5388","-0.16"
"5393","0.241"
"5398","-0.222"
"5404","0.099"
"5408","0.279"
"5414","0.462"
"5418","-0.137"
"5423","-0.04"
"5428","-0.123"
"5434","0.061"
"5439","0.123"
"5443","-0.368"
"5449","-0.005"
"5454","-0.284"
"5459","0.113"
"5464","-0.057"
"5469","0.203"
"5474","-0.133"
"5479","0.047"
"5484","0.119"
"5489","-0.05"
"5494","0.047"
"5499","-0.212"
"5504","0.448"
"5509","-0.219"
"5514","0.597"
"5519","-0.184"
"5524","0.635"
"5529","-0.378"
"5534","-0.068"
"5539","0.03"
"5544","0.022"
"5549","-0.638"
"5554","0.095"
"5559","0.03"
"5564","0.119"
"5569","-0.24"
"5574","-0.119"
"5579","-0.054"
"5584","0.088"
"5589","0.407"
"5594","-0.35"
"5599","0.352"
"5604","-0.057"
"5609","-0.084"
"5614","-0.246"
"5619","-0.167"
"5624","-0.005"
"5629","-0.119"
"5634","-0.116"
"5639","0.016"
"5644","-0.14"
"5649","-0.016"
"5654","0.061"
"5658","-0.202"
"5663","0.175"
"5668","-0.174"
"5673","-0.026"
"5678","-0.04"
"5683","-0.119"
"5688","0.008"
"5693","0.113"
"5698","0.217"
"5703","-0.109"
"5708","-0.24"
"5713","0.006"
"5718","-0.064"
"5723","0.106"
"5728","0.081"
"5733","0.016"
"5738","0.299"
"5743","0.008"
"5748","-0.095"
"5753","-0.03"
"5758","-0.25"
"5763","0.036"
"5768","-0.336"
"5773","0.366"
"5778","0.054"
"5783","0.057"
"5788","-0.126"
"5793","0.099"
"5798","-0.447"
"5804","0.095"
"5809","-0.672"
"5813","0.434"
"5818","-0.312"
"5823","0.088"
"5828","0.175"
"5833","0.209"
"5838","-0.005"
"5843","-0.205"
"5848","-0.354"
"5853","0.161"
"5858","0.175"
"5863","-0.43"
"5868","0.151"
"5874","0.607"
"5878","-0.395"
"5883","-0.074"
"5888","-0.14"
"5893","-0.044"
"5898","0.182"
"5903","0.04"
"5909","-0.054"
"5914","0.144"
"5919","-0.064"
"5924","-0.33"
"5929","-0.126"
"5934","-0.078"
"5939","0"
"5944","0.199"
"5949","-0.191"
"5954","0.044"
"5959","0.217"
"5964","0"
"5969","-0.057"
"5974","0"
"5979","0"
"5984","0"
"5989","0"
"5994","0"
"5999","0"
"6004","0"
"6009","0"
"6014","0"
"6019","0"
"6024","0"
"6029","0"
"6034","0.064"
"6039","0.261"
"6044","-0.126"
"6049","0"
"6054","0.102"
"6059","0.123"
"6064","0.019"
"6069","0.002"
"6074","0"
"6079","0.189"
"6084","0"
"6089","0"
"6094","0"
"6099","0"
"6104","0.203"
"6108","-0.088"
"6114","0.019"
"6119","-0.254"
"6124","-0.04"
"6129","0.376"
"6134","0.006"
"6139","0.141"
"6144","-0.205"
"6149","-0.019"
"6154","-0.208"
"6159","0.137"
"6164","-0.316"
"6169","-0.236"
"6174","-0.174"
"6179","-0.374"
"6184","0.109"
"6189","-0.416"
"6194","0.154"
"6199","0.161"
"6204","0.102"
"6209","-0.205"
"6214","0.161"
"6219","-0.14"
"6224","-0.347"
"6229","0.05"
"6234","0.026"
"6239","-0.144"
"6244","0.113"
"6249","-0.167"
"6254","0.095"
"6259","-0.191"
"6264","-0.13"
"6269","0.251"
"6274","-0.126"
"6279","0.057"
"6284","-0.071"
"6289","-0.044"
"6293","0.179"
"6298","0.251"
"6303","0.258"
"6308","0.601"
"6313","0.04"
"6318","-0.322"
"6323","0.102"
"6328","-0.188"
"6333","0.237"
"6338","-0.088"
"6343","0.057"
"6348","-0.188"
"6353","0.355"
"6358","-0.527"
"6363","-0.071"
"6368","-0.057"
"6373","0.241"
"6378","-0.191"
"6383","0.175"
"6388","-0.137"
"6393","0.434"
"6398","-0.184"
"6403","0.141"
"6408","-0.399"
"6413","0.22"
"6418","-0.133"
"6423","-0.205"
"6428","-0.044"
"6433","-0.03"
"6439","-0.368"
"6443","-0.084"
"6448","-0.078"
"6453","-0.433"
"6458","-0.167"
"6463","-0.232"
"6468","0.106"
"6473","-0.333"
"6479","0.182"
"6483","0.203"
"6488","-0.064"
"6493","-0.25"
"6499","0.231"
"6504","-0.071"
"6508","0.189"
"6514","-0.523"
"6519","0.244"
"6524","-0.064"
"6529","0.282"
"6534","-0.005"
"6539","-0.27"
"6544","0.185"
"6549","-0.295"
"6554","-0.112"
"6559","-0.03"
"6564","0.13"
"6569","-0.147"
"6574","0.217"
"6579","-0.382"
"6584","0.32"
"6589","-0.652"
"6594","0.42"
"6599","-0.503"
"6604","0.085"
"6609","-0.395"
"6614","0.179"
"6619","-0.264"
"6624","0.071"
"6629","0.036"
"6634","-0.068"
"6639","-0.15"
"6644","-0.181"
"6649","-0.33"
"6654","-0.032"
"6659","0.209"
"6664","0.033"
"6668","0.213"
"6673","-0.336"
"6678","0.269"
"6683","-0.298"
"6688","-0.181"
"6693","-0.274"
"6698","0.289"
"6703","-0.26"
"6708","0.331"
"6713","-0.13"
"6718","0.05"
"6723","-0.153"
"6728","0.151"
"6733","0.054"
"6738","-0.181"
"6743","-0.064"
"6748","-0.202"
"6753","0.258"
"6758","-0.054"
"6763","-0.005"
"6768","-0.022"
"6773","-0.468"
"6778","0.095"
"6783","0.175"
"6788","-0.212"
"6793","0.04"
"6798","-0.137"
"6803","0.106"
"6808","-0.016"
"6813","-0.205"
"6818","0.209"
"6823","-0.156"
"6828","-0.019"
"6833","-0.364"
"6838","-0.15"
"6843","0.161"
"6848","-0.119"
"6853","-0.002"
"6859","0.102"
"6864","-0.057"
"6869","0.04"
"6873","-0.019"
"6878","-0.05"
"6883","0"
"6888","-0.005"
"6893","0"
"6898","0"
"6903","0"
"6909","0"
"6914","0"
"6919","0"
"6924","0"
"6929","-0.27"
"6934","-0.074"
"6939","-0.06"
"6944","0.092"
"6949","-0.319"
"6954","0"
"6959","0"
"6964","0"
"6969","0"
"6974","0"
"6979","0"
"6984","0"
"6989","0"
"6994","0"
"6999","0"
"7004","0"
"7009","0"
"7014","0"
"7019","0"
"7024","0"
"7029","-0.156"
"7034","0"
"7039","-0.226"
"7043","0.366"
"7048","-0.72"
"7053","-0.202"
"7058","0.324"
"7063","-0.7"
"7068","-0.866"
"7073","-0.068"
"7078","-0.569"
"7083","0.632"
"7088","-0.13"
"7093","-0.433"
"7098","0.296"
"7103","-0.274"
"7108","-0.333"
"7113","-0.184"
"7118","0.85"
"7123","-0.406"
"7128","1.127"
"7133","-0.385"
"7138","0.829"
"7143","-0.333"
"7148","-0.019"
"7153","-0.119"
"7158","0.123"
"7163","-0.153"
"7168","-0.044"
"7173","0.57"
"7178","-0.232"
"7183","0.317"
"7188","-0.05"
"7193","-0.068"
"7199","0.209"
"7203","-0.354"
"7208","-0.005"
"7213","0.074"
"7219","0.068"
"7223","0.057"
"7229","-0.226"
"7233","-0.513"
"7238","-0.465"
"7244","0.31"
"7249","-0.395"
"7254","0.054"
"7259","0.545"
"7264","-0.493"
"7268","-0.254"
"7274","0.099"
"7279","-0.03"
"7284","0.106"
"7289","0.127"
"7294","0.012"
"7299","-0.254"
"7304","-0.109"
"7309","-0.378"
"7314","0.348"
"7319","-0.326"
"7324","0.199"
"7329","-0.268"
"7334","0.106"
"7339","-0.177"
"7344","0.092"
"7349","-0.25"
"7354","-0.036"
"7359","-0.119"
"7363","-0.181"
"7368","-0.119"
"7373","-0.071"
"7378","-0.116"
"7383","-0.092"
"7388","0.016"
"7393","-0.119"
"7398","0.119"
"7403","-0.174"
"7408","-0.174"
"7413","0.255"
"7418","-0.26"
"7423","-0.153"
"7428","-0.147"
"7433","0.341"
"7438","-0.144"
"7443","0.113"
"7448","-0.06"
"7453","0.331"
"7458","-0.216"
"7463","-0.112"
"7468","0.036"
"7473","-0.05"
"7478","0.106"
"7483","-0.088"
"7488","-0.016"
"7493","-0.064"
"7498","-0.112"
"7503","-0.219"
"7508","-0.06"
"7513","0.289"
"7518","-0.198"
"7523","0.036"
"7528","-0.246"
"7533","0.054"
"7538","-0.156"
"7544","-0.06"
"7549","-0.057"
"7554","-0.156"
"7558","0.119"
"7563","-0.219"
"7569","0.095"
"7573","-0.147"
"7579","0.002"
"7583","-0.057"
"7589","0.157"
"7594","-0.357"
"7599","0.036"
"7604","-0.026"
"7609","-0.123"
"7614","-0.088"
"7619","0.033"
"7624","-0.06"
"7629","-0.005"
"7634","0.016"
"7639","-0.181"
"7644","0.092"
"7649","0.033"
"7654","-0.026"
"7659","-0.308"
"7664","0.161"
"7669","-0.33"
"7674","0.244"
